iter	Passed	Remaining
0	1	151
1	2	144
2	4	134
3	5	125
4	6	121
5	7	117
6	8	115
7	9	114
8	11	113
9	12	111
10	13	109
11	14	107
12	16	108
13	17	107
14	18	105
15	19	104
16	21	102
17	22	101
18	23	100
19	25	100
20	26	101
21	28	100
22	29	99
23	31	98
24	32	97
25	33	96
26	35	95
27	36	94
28	38	93
29	40	94
30	41	93
31	43	91
32	44	89
33	45	88
34	46	86
35	47	85
36	49	83
37	50	82
38	51	80
39	53	80
40	54	78
41	55	76
42	56	74
43	57	73
44	59	72
45	60	71
46	62	70
47	63	68
48	64	67
49	65	65
50	67	64
51	68	63
52	69	61
53	70	60
54	71	58
55	72	56
56	73	55
57	74	54
58	75	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	87	42
67	88	41
68	89	40
69	90	38
70	92	37
71	93	36
72	97	35
73	100	35
74	104	34
75	107	34
76	111	33
77	114	32
78	118	31
79	121	30
80	124	29
81	128	28
82	131	26
83	135	25
84	139	24
85	142	23
86	146	21
87	151	20
88	155	19
89	158	17
90	161	15
91	165	14
92	168	12
93	171	10
94	176	9
95	179	7
96	182	5
97	186	3
98	189	1
99	191	0
